title,description,datetime,id,stage_id,type_id,image_id
Inside Llewyn Davis,"Inside Llewyn Davis' følger musikeren Llewyn Davis, der forsøger at slå igennem som folk-sanger i New York i 1961. Men hans dybtfølte, indadvendte musik passer ikke til musikbranchen, der søger den lettere og mere optimistiske poplyd. 

Det bliver derfor kun til små scenejobs på den lokale bule, og det lille pladeselskab, der tidligere har udgivet en duetindspilning med ham, tror ikke på hans fremtid som solokunstner. 

Pengene er der derfor ikke mange af, og Llewyn lever fra hånden til munden og overnatter på en sofa hos sin utilfredse veninde. Trods modstanden og forhindringerne nægter den lidende kunstner at give op og sætter kursen mod en større og potentielt mere indbringende fremtid. 

Trods den grundlæggende grå stemning, fornægter auteur-parrets tørre humor sig ikke. Men samtidig er ’Inside Llewyn Davis’ et nyt eksempel på, at instruktørerne på plotsiden formår at forny sig gang på gang, og i deres nyeste film foregår handlingen over en uge, hvilket ender med at blive en knivskarp pointe.

Filmen hylder den kreative bølge, der kom ud af Greenwich Village i perioden med en række folk-sange fremført til perfektion af bl.a. skuespillerne Oscar Isaac, Justin Timberlake og Carey Mulligan. 

’Inside Llewyn Davis’ appellerer dog til andre end folk-entusiaster med sine bredt favnende, filmiske kvaliteter og tankevækkende plot.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/insidellewyndavisplakat.jpg?itok=w2zypV6E",2020-07-09 13:30:00+00,01d1d7d4-1ed9-4259-896f-67c02adf086b,5fa4d515-a156-4674-890c-4d013c1c9011,27582808-122c-409d-b1b0-90902b7b414c,ef6ba452-76f0-4525-8fb3-5863ae821c7b
Electric Guitars,"Electric Guitars blev startet 2012 af de to danske guitarister, Mika Vandborg og Søren Andersen. Som begge er store guitarister på den danske musikscene. 

Mika Vandborg, den skæggede mand har siden 2009 været den nye guitarist i Love Shop, og du har sikkert også set ham med en stratocaster og en hvid cowboyhat spille med Gnags. Eller med kunstnere som Dicte/Hempler, Kasper Winding, Nikolaj & Piloterne eller ... Listen er lang, og samtidig laver han plader og turnerer med sit soloprojekt. 
Siden 2003 er det blevet til tre soloplader - ‘Under The Sun’ (2003), ‘2010’ (2010) og ‘Wall of Books’ (2013). Derudover udgav albummet ‘Future Garage Sale Item’ (2007) som et bandprojekt.

Søren Andersen den langhårede rockguitarist har de seneste år turneret med Deep Purple-legenden Glenn Hughes, der håndplukkede danskeren som lead guitarist til sit band. 
Derudover er han kendt som manden bag hittene i hedengangne Kick The Kangaroo, lige som han turnerer med kunstnere som Marco Mendoza og Mike Tramp.
I sommeren 2011 udkom hans første soloalbum, ‘Constant Replay’, der er produceret af Søren Andersen selv i Medley Studios, hvor han hjemmevant producerer og skriver numre til en stribe danske kunstnere.

Siden de startede deres turné i 2012, har de besøgt festivaler og afholdt afskillige koncerter landet over. Kendetegnet for dem alle er at guitaren er i centrum. Når Mika Vandborg og Søren Andersen går på scenen, bliver der spillet fremragende guitarrock, fyldt med guitar soloer og rå riffs. 

Når Electric Guitars går på scenen bakkes de op af Morten Hellborn på trommer og Peter Kjøbsted på bas.",2020-07-11 21:30:00+00,12c11392-da5f-4872-82d8-76df7183cb7b,d0db6db8-0e57-4d00-8259-4bc94662aca2,31a6fd82-08ff-4d6d-96f9-57b77987f8bf,2eceaa22-9c12-4c17-a7a5-857b6ca95ae8
Gimme Danger,"Gimme Danger' er en dokumentarfilm, der fortæller historien om Iggy Pop og The Stooges.

I 1967 blev kimen lagt til et af musikhistoriens vigtigste bands, der blev et symbol på garagerockens gennembrud og punkens fødsel med den karismatiske forsanger, Iggy Pop, i front.

Kombinationen af rock, blues, R&B og jazz overrumplede publikum, og plantede frøene til det, der senere ville blive kendt som punk.

'Gimme Danger' er instrueret af Jim Jarmusch. Han har tidligere portrætteret en af rockens største helte i 'Year of the Horse', hvor omdrejningspunktet var Neil Young.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/awe0729_gimme_danger_dk_plakat.jpg?itok=63uHsdhe",2020-07-11 13:30:00+00,19c8e3ea-b80c-4e57-9278-a1efee53046a,5fa4d515-a156-4674-890c-4d013c1c9011,27582808-122c-409d-b1b0-90902b7b414c,0f938915-693e-46e1-8571-5583048d433f
Boxlights,"In massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.",2020-07-11 21:00:00+00,208f11c9-4281-4696-a2dd-3ce24aaaa8e0,83cbe54f-3343-47a8-a2a5-18f1a17cc76f,adea9a47-bd7c-4bf3-80e7-f4f22f83c32c,5100f045-7bc9-4476-ae4f-c459f14b73b7
Nik & Jay,"Niclas “Nik” Petersen og Jannik “Jay” Thomsen debuterede med singlen ”Nik & Jay”, der ikke bare solgte til en guldcertificering, men også fik slået deres navn fast med syvtommersøm. Derfra var det hit på hit med ”Hot”, ”Pop-Pop”, ”En dag tilbage”, ”Lækker”, ”Kan du høre hende synge”, ”Boing!” og mange flere.

Som successen blev større og større begyndte de at samarbejde med en masse forskellige navne som Søren Huss, Rune RK og Morten Breum, Burhan G, Carpark North, Joey Moe, Sanne Salomonsen, og i 2012 indspillede de den officielle EM-sang sammen med herrelandsholdet.",2020-07-09 20:00:00+00,263cac63-2366-4128-a81f-44d71f84ca98,bc2a8fe9-ac77-4786-9e9a-aed5c481941d,31a6fd82-08ff-4d6d-96f9-57b77987f8bf,192aac55-fe0f-4689-90a9-9a57087cab8f
D-A-D,"D-A-D sørger for masser af energi og el-spade, når de gæster Mediesuset for ottende gang til sommer. Siden 1980'erne har rockveteranerne turneret Danmark, resten af Europa og USA tyndt. Gruppen har eksisteret i omtrent ligeså mange år som Mediesuset, og bandet har været med hele syv gange siden debuten i 1995.

Selvom der er fart på, og bandet er vant til de største internationale scener, er det stadig noget helt særligt for Jesper Binzer, Stig Pedersen, Jacob Binzer og Laust Sonne at være med på Mediesuset.",2020-07-09 23:00:00+00,26597d43-9dcf-4679-8ca7-ebb51828fa65,bc2a8fe9-ac77-4786-9e9a-aed5c481941d,31a6fd82-08ff-4d6d-96f9-57b77987f8bf,74569931-d717-420e-bb57-4018735069c8
Flydende farver,"Egestas erat imperdiet sed euismod nisi porta lorem mollis. Nunc congue nisi vitae suscipit tellus mauris a. Lacus sed turpis tincidunt id. Congue nisi vitae suscipit tellus. Lectus quam id leo in vitae turpis massa sed elementum. Lacus laoreet non curabitur gravida arcu. Dignissim cras tincidunt lobortis feugiat vivamus at. Porta lorem mollis aliquam ut porttitor leo. Imperdiet nulla malesuada pellentesque elit eget gravida cum sociis natoque. Tempus iaculis urna id volutpat lacus laoreet non. Vel elit scelerisque mauris pellentesque pulvinar pellentesque habitant.

In massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.",2020-07-11 11:00:00+00,273ea876-8b6f-4b37-b22b-bf45db2a13f2,5fa4d515-a156-4674-890c-4d013c1c9011,27582808-122c-409d-b1b0-90902b7b414c,2f0eba32-8b61-4476-8566-e46202fec83c
De glade tressede ifølge Maharishi Sarangan,"Et fortryllende visuelt foredrag omkring de glade tressere, hippiekulturen og den nyere tids størtste musikalske revolution. Levende, visuelt flot og inspirerende fortalt af den legendariske guru Maharishi Sarangan.",2020-07-09 19:00:00+00,2c4fe85b-2b76-41c4-8a7b-6936e61013d6,83cbe54f-3343-47a8-a2a5-18f1a17cc76f,572f2171-c11c-408c-8e1c-3128610b29f3,4c68f24e-fa32-4c82-9293-51d8f7702085
Lennon lever,"Den excentriske Lennon fan, Kimbo, har skabt en virtuel verden hvor du kan udforske den afdøde sanger og Beatles medlem, John Lennons kunstneriske univers. Den anmelderroste udstilling høstede fem stjerner ved The Grand New Yorker Exhibition sidste år og er blevet solgt tre gange til en by i Laos.",2020-07-10 17:00:00+00,2e9d06ae-a027-4426-ae6a-1a6afe797a38,83cbe54f-3343-47a8-a2a5-18f1a17cc76f,572f2171-c11c-408c-8e1c-3128610b29f3,dc20bc38-0d66-4e38-9c78-9fd9c57ba468
De døde træers dal,"Inspireret af den namibianske ørken Sossusvlei, har kunstneren Node Julie Sørensen kreeret nogle imponerende digitale skulpturer.

In massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.",2020-07-11 19:00:00+00,30e4f620-24e5-41ba-afcb-18ec8a7121ab,83cbe54f-3343-47a8-a2a5-18f1a17cc76f,572f2171-c11c-408c-8e1c-3128610b29f3,b3a76a8b-9053-4b5f-885a-98d0d912f12b
